,0,1,2,3,4,5
9020,25e672ea73dc4d3df62bfeec1ecade51,6f462b173b2d6d20a2c9fb1ec0fd2dda,20140505,7048087,2,2
2081,7ec488fc483386cdada5448864e82990,8fb3cef29f2c266af4c9ecef3b780e97,20130725,5503742,1,2
7750,c0cb3c19deb6b6773160d4dbe3c90e7d,023406156015ef87f99521f3b343f71f,20140407,3890184,3,3
2080,d04c55f85c853074cf1301c723bd2dd3,8fb3cef29f2c266af4c9ecef3b780e97,20130725,3455702,1,2
8916,79e6b7f86cb3212e4720d5fa335e30e0,6f462b173b2d6d20a2c9fb1ec0fd2dda,20040923,2934905,4,2
2255,d7a090017ac8bc9800dda884746ebe6e,ac43c6ce2f9df4adfbb05edd97cecbcc,20070701,2901391,11,2
7914,6a6544eb3eacc20a5c0cd4da5e4e4c7f,099cd99056bf92e5f0e384465890a804,20100226,2896701,4,2
772,7c681d27bf5d684f2c188611653ebf0f,2e14d32266ee6b4678595f8f50c369ac,19961220,2420338,11,1
2088,288be56011424adaac6e5304448a7682,8fb3cef29f2c266af4c9ecef3b780e97,20130725,2342058,1,2
4812,1689d15bfc70e7333db3081acef02a61,4b8eb68442432c242e9242be040bacf9,20061121,2336807,4,3
8809,1928fa544cbeb9b54a596aedaca5b513,40bbb0da5570702dd6ff3af5e9e3aea6,20071012,2198148,1,1
3895,8a18c3e71ee2ac510f5391e2bc815c9f,c5f0170f87a2fbb17bf65dc858c745e2,20030325,2172465,4,3
2044,5ae43bc00f9e34e43bc34cde755a092c,8da51d03b8b8717431e8b902856fb45e,20140625,2142086,1,2
4029,33fe12fe79b4256660f35e1977b62a66,c5f0170f87a2fbb17bf65dc858c745e2,20070514,2120486,4,3
2082,8245546f37fd35c45a841fa3460d4de0,8fb3cef29f2c266af4c9ecef3b780e97,20130725,2110389,1,2
4904,035713f4aa14b34d0752fadc20052e42,4b8eb68442432c242e9242be040bacf9,19650806,1893592,4,3
7935,72662ab04312468bbe77e5bbdfce5da6,099cd99056bf92e5f0e384465890a804,20121005,1752602,4,2
5328,9373bce643ad34c41ee715711766e21f,4b8eb68442432c242e9242be040bacf9,19700508,1740028,4,3
1319,5fc3eae9ac61fceef0b89d6a95e294f1,2e14d32266ee6b4678595f8f50c369ac,19911128,1693809,1,1
1584,9923d8c10154407e0cdaa52d3137bd95,5e2ef5473cbbdb335f6d51dc57845437,20050801,1619449,11,2
